Title|URL
123: Enterprise Campus Wired Design Fundamentals - BRKENS-1501 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKENS-1501.pdf
5 Tools You Should Learn to Level Up Your Network Automation Game - DEVNET-2149 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-2149.pdf
7 Habits for Success with Cisco Catalyst Center - BRKOPS-2416 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKOPS-2416.pdf
Accelerate Threat Analysis with Intelligent Automation - BRKSEC-2585 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKSEC-2585.pdf
Accelerate your cloud adoption with Amazon Web Services (AWS) and Cisco - CNCPS-1680 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CNCPS-1680.pdf
Accelerate Your Outcomes by Measuring the Value and Impact of IT Investment - CXLTS-1007 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CXLTS-1007.pdf
Accelerate Zero Trust Network Access. - WOSSEC-1003 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/WOSSEC-1003.pdf
Accelerating Infrastructure Modernisation and Execution Strategies for AI - CENCX-1004 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CENCX-1004.pdf
Achieving Faster Delivery, Simplified Operations, and Continuous Optimisation with Intersight - BRKCLD-1667 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKCLD-1667.pdf
ACI Design (Multi-Pod/Multi-Site) - BRKDCN-2617 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKDCN-2617.pdf
ACI Mastery: Revolutionizing Data Center Networking with DevOps and Service as Code - LABDCN-1002 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/LABDCN-1002.pdf
ACI: The Foundation of an Internal Private Cloud - BRKDCN-2984 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKDCN-2984.pdf
Addressing Top SRv6 Problems: A quick fix Guide for Service Providers - TACSPG-2002 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/TACSPG-2002.pdf
A Developer's Introduction to Splunk Observability Cloud - DEVNET-2366 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-2366.pdf
Advanced Configurations (at Scale) for IMM - BRKCOM-2005 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKCOM-2005.pdf
Advanced LISP SDA Forwarding Architecture - BRKENS-3555 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKENS-3555.pdf
Advanced RF Tuning for Wi-Fi 6E with Cisco Wireless: Become an Expert While Getting a Little Help from AI - BRKEWN-3413 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKEWN-3413.pdf
Advanced Terraform Techniques: Moving Beyond the Scaffolding - DEVNET-2565 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-2565.pdf
Afternoon Tea Break - ITLGEN-2012 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/ITLGEN-2012.pdf
Afternoon Tea Break - ITLGEN-2016 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/ITLGEN-2016.pdf
AI Across Industries: Explore Real World Applications and the Infrastructure Enabling Transformation - CENSPG-1015 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CENSPG-1015.pdf
AI and Data Center Modernization​ - Where Performance Meets Purpose​ - ITLGEN-1014 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/ITLGEN-1014.pdf
AI in Cyber Security for Colour RED and Colour BLUE - BRKSEC-2252 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKSEC-2252.pdf
AI in Observability - BRKAPP-2548 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKAPP-2548.pdf
AI/ML Computer Vision to improve safety - DEVNET-2300 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-2300.pdf
AI/ML for Network Engineers - BRKENT-2209 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKENT-2209.pdf
AIOPS for Cisco Secure Firewall: Enhancing Operational Efficiency and Security - BRKSEC-2151 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKSEC-2151.pdf
AI-Powered Scripting with GitHub Copilot - DEVNET-2159 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-2159.pdf
AI powered Security with Hypershield API - DEVNET-1568 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/DEVNET-1568.pdf
AI Security through the Lens of Large Language Models - BRKSEC-1900 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKSEC-1900.pdf
A Modern Approach to GenAI: Retrieval Augmented Generation (RAG) with LangChain - BRKAPP-2562 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKAPP-2562.pdf
A NetEng's View of Kubernetes - CISCOU-2037 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CISCOU-2037.pdf
A Network Engineer's Blueprint for ACI Forwarding - BRKDCN-3900 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/BRKDCN-3900.pdf
An Introduction to eBPF for Network Security Engineers - CISCOU-2035 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/CISCOU-2035.pdf
Ansible and ACI: Begin Your Automation Journey - LABDCN-1774 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/LABDCN-1774.pdf
Ansible Zero to Hero - Network Automation - LTRPRG-1125 | https://www.ciscolive.com/c/dam/r/ciscolive/apjc/docs/2024/pdf/LTRPRG-1125.pdf
